User_ID,Age,Gender,Occupation,Relationship_Status,Primary_Platform,Daily_Usage_Hours,Platforms_Used_Count,Posts_Per_Week,Late_Night_Usage,First_Check_Morning,Notifications_Per_Day,FOMO_Score,Social_Comparison_Score,Validation_Seeking_Score,Scroll_Without_Purpose,Tried_To_Cut_Back,Failed_To_Cut_Back,Anxiety_Score,Depression_Score,Loneliness_Score,Self_Esteem_Score,Sleep_Quality_Score,Sleep_Hours,Productivity_Loss_Score,Offline_Relationship_Quality,Physical_Activity_Hrs_Week,Screen_Free_Time_Hrs,Mental_Wellbeing_Score,Addiction_Level
USR00025,15,Male,,Single,TikTok,6.0,2,4,No,After 30 min,63,8.6,2.6,6.6,7.7,No,Yes,2.8,2.0,1.6,2.8,5.8,8.3,3.3,8.8,2.2,6.0,6.5,Moderate
USR00026,26,Male,Student,In a Relationship,Instagram,10.4,4,8,Yes,5-30 min,85,,7.1,3.0,3.6,Yes,No,4.7,6.2,3.2,7.5,3.7,5.1,7.9,6.0,5.8,5.0,5.8,High
USR00027,38,Female,Freelancer,Married,YouTube,4.4,7,4,Yes,After 30 min,45,3.8,9.3,3.2,8.6,No,Yes,0.0,0.8,1.4,5.0,4.9,6.0,10.0,4.7,3.6,3.1,6.9,High
USR00028,41,Male,Working Professional,In a Relationship,TikTok,3.0,2,3,No,Within 5 min,5,5.7,6.6,0.0,3.1,No,No,5.2,3.1,4.9,8.9,6.3,7.6,1.4,7.1,,3.7,8.5,Low
USR00029,21,Non-binary,Working Professional,In a Relationship,Instagram,0.8,1,5,No,Within 5 min,87,6.8,5.7,5.5,5.8,Yes,Yes,5.5,3.7,5.1,9.0,7.7,6.7,10.0,2.7,4.6,4.0,4.6,Severe
USR00030,34,Female,Student,Single,TikTok,1.4,1,4,No,Within 5 min,82,4.0,5.4,2.8,4.5,Yes,No,8.4,4.2,5.4,5.5,6.0,6.9,6.1,5.2,3.6,4.3,7.6,Low
USR00031,43,Male,Working Professional,Single,Twitter/X,,7,4,No,Within 5 min,68,5.8,5.1,4.7,7.0,Yes,Yes,6.2,2.7,1.9,4.4,6.0,8.2,8.9,5.8,5.2,5.3,5.8,High
USR00032,27,Male,Working Professional,In a Relationship,TikTok,1.5,5,6,No,Within 5 min,5,3.0,8.7,6.5,6.7,Yes,Yes,5.8,3.8,4.0,6.0,4.6,7.5,5.4,5.7,2.7,0.4,5.6,High
USR00033,20,Male,Student,In a Relationship,Facebook,0.5,2,7,No,5-30 min,52,7.3,8.9,3.0,5.2,Yes,,7.1,2.3,5.6,6.7,5.9,8.6,2.8,4.2,3.6,3.9,5.8,Moderate
USR00034,39,Female,Student,Single,Instagram,4.6,2,3,Yes,5-30 min,75,5.7,9.3,1.6,8.1,No,Yes,0.6,3.3,3.4,4.9,7.1,5.3,5.8,6.8,2.9,1.4,5.8,High
USR00035,39,Female,Freelancer,Married,Twitter/X,4.3,2,2,Yes,Within 5 min,53,5.7,2.4,1.3,8.6,Yes,No,4.2,5.6,3.1,4.5,3.0,5.3,7.1,8.4,3.9,3.4,7.7,Low
USR00036,38,Male,Working Professional,Single,Instagram,8.2,4,8,No,5-30 min,64,,2.9,6.4,3.4,Yes,Yes,6.8,3.7,4.2,7.6,8.1,4.8,7.3,7.8,2.5,4.3,6.2,High
USR00037,36,Female,Working Professional,In a Relationship,Snapchat,1.3,7,2,Yes,Within 5 min,95,4.6,10.0,5.9,4.4,Yes,Yes,9.6,5.8,6.4,,7.2,6.7,3.9,4.8,1.7,6.2,3.5,Severe
USR00038,31,Non-binary,Student,In a Relationship,Instagram,6.7,5,5,Yes,After 30 min,5,5.9,6.5,1.5,4.5,,Yes,4.0,3.5,,3.6,3.8,7.9,8.2,,0.8,2.6,5.4,Severe
USR00039,42,Male,Working Professional,Married,Instagram,0.5,4,6,No,Within 5 min,57,1.3,2.9,4.3,0.4,No,Yes,5.0,2.0,5.2,9.4,5.4,6.6,,3.2,2.7,1.3,7.7,Low
USR00040,44,Non-binary,Working Professional,Single,Instagram,7.3,4,5,No,Within 5 min,73,5.2,6.3,8.1,9.3,No,No,8.4,5.4,,10.0,6.6,4.2,4.0,2.8,4.2,3.1,4.3,Severe
USR00041,15,Female,Student,In a Relationship,Facebook,5.1,4,7,No,After 30 min,97,4.8,5.3,4.5,5.2,No,Yes,3.7,1.4,5.9,5.2,,8.7,6.4,6.3,1.2,5.6,8.0,Low
USR00042,17,Female,Working Professional,Married,TikTok,2.4,2,2,Yes,After 30 min,90,7.6,9.4,4.7,3.7,No,No,3.1,,7.1,5.7,8.1,7.5,9.4,4.7,2.2,2.8,6.6,Moderate
USR00043,39,Female,Working Professional,Married,TikTok,7.2,1,6,No,Within 5 min,80,7.9,7.5,1.2,8.7,No,No,3.2,3.2,1.2,6.4,6.8,6.4,7.4,5.2,3.1,5.4,6.6,Moderate
USR00044,24,Male,Unemployed,Single,Instagram,4.9,4,5,No,5-30 min,89,9.2,3.7,6.5,7.9,No,Yes,6.7,3.4,0.1,4.4,6.2,6.8,4.0,,4.8,2.8,5.5,High
USR00045,29,Female,Freelancer,Single,TikTok,5.8,2,1,No,After 30 min,124,7.5,2.3,5.8,5.3,No,No,4.3,6.3,6.6,5.2,6.8,7.2,6.9,7.2,1.1,4.4,6.1,Moderate
USR00046,21,Female,Student,In a Relationship,Facebook,4.6,1,2,Yes,5-30 min,114,1.2,8.9,7.8,8.0,Yes,No,4.5,4.2,5.9,10.0,1.0,4.5,5.3,5.1,3.8,1.8,6.9,Moderate
USR00047,19,,Student,Single,Twitter/X,7.0,4,2,No,After 30 min,27,6.5,6.3,4.5,5.1,Yes,No,,3.9,4.3,3.7,10.0,5.0,,4.4,4.8,3.7,8.2,Low
USR00048,29,Male,Student,Single,TikTok,,4,4,Yes,After 30 min,38,4.0,6.6,4.3,5.1,No,Yes,1.7,1.2,3.6,4.7,3.3,5.3,0.0,6.0,2.1,3.9,7.1,Moderate
USR00049,24,Male,Student,Single,Instagram,,1,4,No,Within 5 min,17,5.2,5.9,7.5,7.7,Yes,No,5.9,3.8,4.6,8.0,6.7,6.5,4.7,7.8,4.8,3.9,6.7,Moderate
USR00050,38,,Working Professional,In a Relationship,Instagram,2.6,6,3,No,Within 5 min,62,2.4,6.2,6.8,5.6,Yes,Yes,1.5,6.7,0.1,,,9.7,4.8,4.9,1.8,0.8,5.5,High
USR00051,18,Male,Student,Married,TikTok,2.7,2,3,No,Within 5 min,104,3.1,2.4,7.4,8.9,Yes,Yes,0.4,6.7,1.6,6.5,6.0,8.0,6.5,6.5,1.8,1.0,6.6,Moderate
USR00052,18,Female,Student,In a Relationship,TikTok,6.2,4,1,No,Within 5 min,18,6.3,4.0,4.0,8.1,No,No,5.3,0.0,5.8,3.1,7.7,6.7,4.4,3.9,2.4,2.8,6.6,Moderate
USR00053,23,Female,Working Professional,Single,YouTube,5.8,4,5,Yes,Within 5 min,32,6.1,6.3,5.5,8.4,No,Yes,8.3,10.0,,1.2,7.6,3.3,6.1,7.7,4.9,2.1,3.0,Severe
USR00054,34,Female,Unemployed,Single,YouTube,5.1,5,2,Yes,After 30 min,74,8.0,6.1,2.9,2.9,Yes,No,3.5,1.1,4.0,3.0,3.7,5.4,7.6,5.9,0.0,2.8,7.1,Moderate
USR00055,31,Male,Freelancer,Married,Instagram,4.0,4,7,Yes,Within 5 min,64,6.0,5.9,6.3,3.8,No,Yes,1.8,2.5,3.5,4.5,6.3,9.5,5.7,3.6,4.6,0.5,7.3,Moderate
USR00056,16,Male,Student,Married,TikTok,3.3,2,4,Yes,Within 5 min,60,2.4,2.2,5.2,6.3,Yes,No,4.9,2.5,4.8,5.5,7.4,6.5,3.6,4.2,2.3,5.4,7.1,Moderate
USR00057,15,Female,Student,Single,Twitter/X,5.3,4,6,Yes,Within 5 min,8,8.4,6.8,4.6,2.2,No,Yes,3.1,3.1,3.5,5.9,4.6,5.8,9.1,7.2,3.7,0.7,5.4,High
USR00058,31,Female,Student,Married,Instagram,6.3,5,6,Yes,5-30 min,36,3.6,5.2,6.4,6.3,No,Yes,6.5,3.7,,0.7,5.0,6.9,5.5,3.5,1.2,3.8,4.0,Severe
USR00059,37,Male,Working Professional,In a Relationship,TikTok,6.2,3,4,Yes,5-30 min,58,7.3,4.4,3.2,6.5,Yes,No,5.0,2.9,6.2,8.3,3.9,6.2,5.6,4.2,2.7,1.9,5.8,High
USR00060,44,Male,Unemployed,Single,Instagram,8.1,4,3,Yes,Within 5 min,71,,6.5,6.3,6.9,Yes,No,6.6,,6.2,6.5,6.1,7.8,2.3,4.1,0.0,6.1,6.1,High
USR00061,27,Female,Student,In a Relationship,Facebook,8.3,3,1,Yes,Within 5 min,48,6.4,1.7,5.8,8.3,Yes,Yes,3.0,4.5,5.2,4.2,6.3,5.4,1.8,6.6,4.8,4.7,6.0,High
USR00062,43,Non-binary,Working Professional,Single,TikTok,3.7,1,6,Yes,5-30 min,5,7.6,3.4,7.8,3.6,No,Yes,8.2,3.8,2.0,7.3,5.5,7.2,3.3,,1.1,2.7,5.3,High
USR00063,43,Male,Working Professional,Single,Twitter/X,10.0,4,7,No,Within 5 min,30,1.6,4.4,4.8,8.1,,Yes,4.9,1.4,4.0,6.1,3.2,7.6,3.2,9.4,1.7,3.0,6.9,Moderate
USR00064,22,Male,Working Professional,In a Relationship,Twitter/X,7.8,2,6,Yes,After 30 min,19,6.5,4.9,3.9,6.4,No,Yes,,7.5,2.3,3.4,3.6,7.8,1.3,5.5,5.0,2.6,7.4,Moderate
USR00065,38,Female,Freelancer,Married,Facebook,5.2,3,5,Yes,Within 5 min,121,10.0,7.6,5.8,6.1,Yes,Yes,5.7,2.0,4.2,,4.7,7.2,9.5,7.4,4.4,2.3,3.7,Severe
USR00066,25,Male,Student,Single,Instagram,5.3,6,3,Yes,Within 5 min,70,5.6,8.9,7.3,3.3,No,No,0.3,6.3,8.3,7.1,,6.3,8.7,3.3,0.9,2.0,4.9,Severe
USR00067,24,Female,Student,Single,Twitter/X,5.7,6,5,Yes,After 30 min,108,,7.0,3.3,7.0,Yes,No,7.7,7.1,4.9,9.3,5.3,5.6,3.4,3.0,2.8,4.6,6.4,Moderate
USR00068,18,Non-binary,Working Professional,Married,Twitter/X,3.4,1,4,Yes,Within 5 min,5,6.9,6.8,5.1,5.2,Yes,,4.8,3.0,7.0,2.9,4.1,6.1,3.5,3.8,8.0,1.2,6.0,Moderate
USR00069,15,Male,Student,Single,Instagram,3.1,2,4,Yes,Within 5 min,5,,4.2,3.1,6.2,No,Yes,3.4,6.3,5.7,5.9,6.2,7.5,2.0,10.0,4.2,1.4,7.7,Moderate
USR00070,44,Female,Student,Single,TikTok,4.6,1,5,Yes,Within 5 min,48,4.5,5.3,4.4,4.0,Yes,Yes,6.6,6.6,3.1,5.1,9.6,9.4,5.3,4.1,1.3,3.1,6.6,Moderate
USR00071,22,Male,Working Professional,Married,YouTube,3.7,4,4,Yes,5-30 min,126,9.2,6.5,,4.6,No,Yes,6.0,2.0,3.5,4.5,5.5,5.9,3.5,8.0,4.4,3.8,5.1,Severe
USR00072,38,Female,Student,In a Relationship,YouTube,0.5,5,6,Yes,After 30 min,31,4.2,8.8,1.0,4.5,Yes,Yes,5.7,3.4,4.2,3.0,3.5,7.8,6.7,3.6,7.8,4.3,7.1,Moderate
USR00073,43,Non-binary,Student,Married,Facebook,5.9,3,2,No,After 30 min,87,5.1,2.4,0.5,3.3,Yes,Yes,6.3,0.9,3.2,,4.7,7.6,7.4,6.0,3.8,0.7,8.1,Low
USR00074,38,Female,,Married,Instagram,0.5,7,7,Yes,After 30 min,74,8.8,9.7,6.9,6.9,No,No,7.2,8.2,6.2,8.0,6.6,6.2,3.5,6.9,5.3,4.8,6.6,Moderate
USR00075,15,Male,Freelancer,Single,YouTube,5.3,6,1,Yes,After 30 min,83,3.7,6.6,5.1,6.2,Yes,Yes,6.1,4.9,5.0,,6.3,5.2,6.4,5.5,3.1,6.8,6.3,High
USR00076,36,Male,Working Professional,In a Relationship,YouTube,3.8,5,6,Yes,Within 5 min,40,8.2,7.5,9.0,7.3,No,No,,5.1,4.6,5.4,5.7,7.9,6.6,8.1,4.9,2.2,4.1,Severe
USR00077,19,Female,Student,Single,YouTube,3.2,2,2,No,5-30 min,86,5.5,5.5,6.3,3.8,Yes,Yes,4.9,3.7,3.1,5.8,5.9,5.1,5.5,5.5,3.7,2.8,6.1,Moderate
USR00078,18,Female,Freelancer,Single,Twitter/X,6.2,2,4,Yes,After 30 min,118,2.6,8.5,9.0,3.9,Yes,Yes,8.1,1.0,4.8,2.8,,5.0,4.2,4.9,4.7,1.0,5.2,High
USR00079,16,Female,Freelancer,Single,TikTok,2.8,6,3,No,Within 5 min,32,7.5,3.1,,2.1,No,Yes,6.4,,7.0,5.1,3.2,7.3,6.8,4.4,4.7,3.5,6.2,High
USR00080,18,Female,Working Professional,In a Relationship,YouTube,2.4,3,3,,After 30 min,73,4.5,6.5,5.9,7.2,Yes,,6.3,3.8,2.7,10.0,7.3,4.2,7.9,10.0,1.8,1.9,8.4,Low
USR00081,42,Female,Unemployed,In a Relationship,TikTok,5.2,6,2,Yes,Within 5 min,19,7.0,5.1,6.6,8.2,No,No,4.1,8.7,3.1,8.3,4.7,6.1,5.1,8.5,,3.1,6.1,High
USR00082,42,Male,Student,Single,TikTok,5.0,2,3,Yes,Within 5 min,88,3.1,7.1,,7.6,No,Yes,9.0,3.8,3.0,6.4,6.8,6.4,3.1,4.7,0.7,4.7,4.4,Severe
USR00083,16,Non-binary,Working Professional,Single,Instagram,3.0,2,3,Yes,Within 5 min,32,7.0,3.5,,1.2,No,Yes,2.5,3.1,1.6,5.0,3.3,3.0,1.9,8.8,3.8,0.0,6.9,Moderate
USR00084,34,Female,Freelancer,Single,YouTube,2.9,1,6,No,After 30 min,130,7.1,7.7,7.9,6.6,Yes,No,5.8,2.9,3.4,8.3,7.9,5.5,6.0,7.2,3.3,0.0,7.5,Low
USR00085,42,Male,Unemployed,Single,Facebook,2.9,4,3,No,Within 5 min,15,6.4,4.5,5.8,6.2,No,Yes,2.9,1.5,6.1,5.2,3.2,6.4,9.0,8.2,0.0,4.0,5.6,High
USR00086,19,Female,Student,Single,Instagram,5.2,3,2,Yes,After 30 min,24,10.0,6.7,4.6,4.1,Yes,Yes,5.6,1.7,0.6,4.8,4.3,7.1,6.6,7.9,1.9,5.2,6.6,Moderate
USR00087,34,Male,Working Professional,Married,Facebook,5.5,3,2,No,5-30 min,33,2.8,5.2,6.0,2.5,Yes,Yes,3.8,5.7,2.4,5.8,8.4,6.4,3.0,9.4,1.5,3.3,10.0,Low
USR00088,16,Male,Student,Single,Instagram,6.3,2,6,Yes,5-30 min,72,6.4,5.6,4.4,7.5,Yes,Yes,7.4,7.4,3.4,4.7,3.4,8.4,5.6,6.3,3.0,2.9,4.4,Severe
USR00089,42,Male,Student,In a Relationship,Snapchat,4.3,6,8,Yes,Within 5 min,77,5.1,8.7,8.4,7.8,Yes,Yes,7.0,5.0,1.2,6.1,6.1,7.4,4.8,,0.0,4.5,4.3,Severe
USR00090,40,Female,Working Professional,Single,TikTok,2.6,1,4,No,After 30 min,5,3.8,4.8,10.0,2.3,Yes,No,7.7,5.1,,7.0,8.0,6.3,6.7,5.0,2.1,,8.8,Low
USR00091,20,Male,Working Professional,In a Relationship,TikTok,6.1,3,5,No,Within 5 min,17,7.5,7.4,4.5,4.3,Yes,Yes,2.8,3.3,6.9,5.8,1.7,5.9,5.2,7.8,0.8,2.8,4.7,Severe
USR00092,24,Female,Student,Single,Facebook,10.2,6,2,Yes,Within 5 min,31,6.3,6.7,5.0,4.4,No,No,4.8,6.4,1.8,6.2,5.5,6.2,6.2,5.8,2.5,0.5,5.0,High
USR00093,44,Male,Student,In a Relationship,Instagram,8.0,3,5,Yes,5-30 min,121,5.4,2.7,9.5,5.9,No,No,6.5,4.3,3.5,5.2,8.9,5.1,1.5,7.2,4.0,2.9,5.6,Moderate
USR00094,32,Female,Unemployed,Single,Instagram,2.3,1,3,Yes,Within 5 min,62,6.2,10.0,5.1,10.0,Yes,Yes,4.1,6.6,1.2,6.8,8.7,7.3,1.4,5.3,1.9,2.7,5.3,High
USR00095,17,Male,Working Professional,Single,Facebook,6.2,1,3,No,After 30 min,9,9.0,4.8,4.8,0.0,No,Yes,5.9,5.8,7.1,7.9,3.9,5.8,2.1,2.7,2.0,2.5,8.0,Low
USR00096,34,Female,Working Professional,Single,Instagram,4.3,7,3,Yes,Within 5 min,83,4.1,2.6,5.4,3.0,Yes,Yes,8.2,0.3,6.9,4.0,5.1,6.2,3.3,6.9,1.6,5.2,4.8,Severe
USR00097,33,Non-binary,Student,In a Relationship,TikTok,4.3,3,1,Yes,Within 5 min,69,6.3,5.4,6.5,7.9,No,Yes,8.0,3.7,4.3,5.4,5.8,3.9,3.3,6.7,5.5,1.9,4.5,Severe
USR00098,33,Male,Working Professional,Single,Facebook,3.9,1,4,Yes,5-30 min,47,0.5,2.5,5.1,7.8,No,Yes,7.3,3.8,6.0,4.6,4.1,9.3,5.4,7.0,3.9,5.2,7.0,Moderate
USR00099,36,Male,Student,Single,,2.7,4,4,Yes,5-30 min,124,7.7,0.9,6.4,2.6,No,No,6.9,0.9,3.4,5.5,2.8,8.2,5.2,4.8,1.6,,6.8,Moderate
USR00100,38,Female,,Married,Twitter/X,1.2,3,6,Yes,After 30 min,66,4.1,5.2,7.0,5.4,Yes,No,5.8,7.6,5.8,6.6,4.7,4.3,6.7,3.3,4.3,1.2,7.6,Low
USR00101,18,Female,Student,In a Relationship,Snapchat,5.5,3,3,No,5-30 min,63,3.8,4.9,4.2,7.1,Yes,Yes,5.5,7.8,3.6,9.0,5.6,6.0,2.7,8.5,5.1,0.0,7.4,Moderate
USR00102,26,Male,Working Professional,Single,Instagram,2.3,2,4,Yes,After 30 min,10,5.9,2.7,5.2,3.4,Yes,No,10.0,5.0,6.3,6.8,5.3,6.8,10.0,3.6,3.4,2.8,8.0,Low
USR00103,41,Female,Working Professional,In a Relationship,TikTok,3.3,6,4,,After 30 min,5,5.5,7.6,4.0,8.4,No,Yes,1.0,1.4,4.4,5.7,3.0,6.1,4.3,9.6,2.7,4.5,6.8,Moderate
USR00104,30,Female,Working Professional,In a Relationship,Instagram,3.7,1,2,No,5-30 min,42,6.0,2.8,3.3,9.2,No,Yes,3.8,2.1,6.0,10.0,2.5,6.1,6.7,2.7,5.0,2.9,6.5,High
USR00105,31,Female,Student,Single,Facebook,4.7,3,5,,Within 5 min,65,4.8,7.4,3.9,8.6,No,Yes,5.7,0.1,6.3,3.7,,5.2,3.2,,2.7,1.3,4.3,Severe
USR00106,27,Male,Working Professional,Single,Facebook,3.6,1,7,No,Within 5 min,35,7.7,6.1,6.6,3.6,No,Yes,5.1,4.3,8.8,4.4,3.8,7.1,4.2,6.1,3.8,3.7,5.9,High
USR00107,44,Female,Freelancer,Single,Twitter/X,4.2,2,4,Yes,5-30 min,64,3.9,4.4,1.9,3.9,Yes,No,4.8,3.9,1.7,4.5,4.6,8.3,3.6,4.0,4.9,2.9,8.8,Low
USR00108,26,Female,Freelancer,Married,,3.6,1,2,Yes,5-30 min,16,1.0,6.6,8.0,5.3,No,Yes,7.6,2.0,5.4,7.1,6.3,6.5,0.8,5.2,4.3,4.3,6.2,Moderate
USR00109,24,Male,Freelancer,Single,YouTube,5.1,4,3,No,5-30 min,7,9.1,4.8,4.6,1.9,No,No,4.6,4.1,3.9,,7.9,8.5,5.0,6.5,6.1,5.0,7.6,Low
USR00110,24,Male,Student,Single,YouTube,5.3,2,5,No,5-30 min,124,5.4,8.6,4.3,7.9,Yes,No,4.2,5.5,2.8,10.0,7.2,9.1,8.4,3.7,1.9,0.3,7.3,Moderate
USR00111,27,Female,Working Professional,Married,TikTok,7.7,1,9,Yes,Within 5 min,56,6.9,3.0,0.0,2.7,No,No,5.8,3.2,6.1,8.9,2.4,5.7,7.2,2.6,4.0,1.5,7.2,High
USR00112,18,Female,Working Professional,In a Relationship,TikTok,5.8,4,4,,After 30 min,53,3.4,3.9,7.2,6.4,No,No,0.5,5.3,3.9,3.8,6.4,5.9,1.7,5.6,2.6,5.1,7.7,Low
USR00113,29,Female,Student,Single,Instagram,3.3,5,7,No,After 30 min,93,5.7,3.8,4.0,4.0,No,No,,2.8,4.3,7.4,3.0,6.6,9.8,6.7,1.2,4.6,6.9,Low
USR00114,29,Female,Working Professional,Single,Instagram,5.8,3,6,Yes,Within 5 min,54,1.4,8.3,5.1,5.4,No,Yes,2.3,6.0,4.4,3.5,4.9,7.7,6.9,1.3,2.4,5.6,4.4,Severe
USR00115,43,Male,Freelancer,Married,Instagram,6.5,3,2,Yes,After 30 min,48,10.0,8.6,7.3,3.3,Yes,No,5.5,4.9,0.3,4.2,5.0,7.4,6.6,10.0,3.2,,6.0,Moderate
USR00116,35,Male,Working Professional,Single,Twitter/X,3.3,2,4,No,Within 5 min,44,6.2,2.3,6.6,4.6,Yes,Yes,6.7,8.5,3.3,4.8,3.7,5.3,3.0,,4.2,5.2,7.8,Low
USR00117,36,Female,Working Professional,Married,Facebook,3.3,1,10,Yes,5-30 min,58,6.8,4.5,6.8,1.9,No,Yes,5.8,3.0,2.4,6.4,6.5,8.0,8.4,6.0,2.0,0.5,7.9,Low
USR00118,43,Female,Student,In a Relationship,Instagram,0.5,5,4,No,5-30 min,79,8.4,5.7,4.6,2.8,No,Yes,5.8,3.4,,2.0,6.2,8.2,5.2,,2.1,3.5,6.7,Moderate
USR00119,30,Male,Student,Single,Twitter/X,7.8,4,4,Yes,After 30 min,5,4.1,4.0,7.5,7.5,Yes,No,6.5,4.9,,6.4,5.0,8.7,9.1,6.9,2.7,1.8,6.6,Moderate
